country_name,year,pop_thous,gdp_US_mil,homicides_per_100_000,life_expectancy_years,unemployment_per,departures_thous,tourism_expenditures_US_mil,arrivals_thous,tourism_receipts_US_mil
Mauritius,1998,1160421,4169664285.39,2.7,70.61,9.24,143000,203000000,558000,672000000
India,1998,1019483581,421351487589.81,4.9,61.67,2.67,3811000,1713000000,2359000,2949000000
Costa Rica,1998,3803887,13617405297.06,5.9,77.12,5.33,330000,466000000,943000,1038000000
Uruguay,1998,3291053,25385928198.32,7.4,74.31,13.07,654000,265000000,2163000,695000000
Cyprus,1998,908702,10248619909.5,0.8,77.74,5.05,484000,537626300,2223000,1922333000
"Korea, Rep.",1998,46286503,374241351752.48,0.8,75,6.96,3067000,4027000000,4250000,8263000000
Netherlands,1998,15707209,438008220395.47,1.1,77.88,4.39,13553000,13474000000,9312000,11923000000
Singapore,1998,3927213,85728310229.45,1.1,77.3,3.41,3745000,3222000000,5122000,4603000000
Switzerland,1998,7110001,295045152020.97,1.1,79.32,3.6,11891000,8754000000,7185000,10188000000
France,1998,60186288,1503108739159.44,1.6,78.6,12.07,18077000,18819000000,70109000,29490000000
Italy,1998,56906744,1266309245009.48,1.6,78.98,12.12,17698000,20539000000,34933000,31339000000
United Kingdom,1998,58487141,1641666114607.49,1.6,77.19,6.2,50872000,41458000000,23710000,31658000000
China,1998,1241935000,1029043097554.08,2.1,70.74,3.2,8426000,9943000000,25073000,13229000000
Denmark,1998,5304219,176991934992.84,0.9,76.14,5.04,4788000,4577000000,2073000,3236000000
Luxembourg,1998,424700,20209122027.12,0.9,77.02,2.76,757000,1335000000,789000,1634000000
Malta,1998,385287,3923637971.05,1.3,77.59,6.34,167000,221000000,1182000,818000000
New Zealand,1998,3815000,56227169851.04,1.3,78.09,7.72,1166000,1383000000,1475000,1857000000
Spain,1998,40223509,617041986858.22,1.3,78.67,18.67,4794000,7119000000,41892000,31592000000
Australia,1998,18711000,398899138574.24,1.8,78.63,7.68,3161000,8307000000,4167000,10169000000
Belarus,1999,10026738,12138486532.02,9.8,67.91,12.8,934000,133000000,74900,92000000
Brazil,1999,172318675,599388579985.67,22.8,69.77,10.21,2863000,3551000000,5107000,1718000000
Bulgaria,1999,8210624,13531969309.46,4.1,71.41,14.1,2376000,747000000,2472000,1184000000
Colombia,1999,38999471,86186158684.77,61.2,72.62,20.06,1098000,1339000000,546000,1231000000
Costa Rica,1999,3885430,14195623342.76,6.4,77.29,5.89,353000,509000000,1032000,1256000000
Dominican Republic,1999,8343283,22137599986.11,12.6,69.17,6.46,363000,391000000,2649000,2483000000
Ecuador,1999,12442115,19645272636.32,13.6,72.42,5.01,386000,385000000,518000,377000000
El Salvador,1999,5844846,11284197000,66,68.58,6.68,787000,205000000,658000,408000000
Estonia,1999,1390244,5726897998.3,11.2,70.06,11.57,1780000,255000000,950000,702000000
Georgia,1999,4157192,2799976944.62,5.1,69.76,13.8,373000,135000000,384000,131000000
Guatemala,1999,11387203,18318412251.36,23.3,67.35,2.92,485000,216000000,823000,374000000
Honduras,1999,6397151,6414520529.62,40.3,70.38,3.85,235000,166000000,371000,214000000
India,1999,1038058156,458820428317.59,4.6,62.09,2.74,4115000,2010000000,2482000,3010000000
Kazakhstan,1999,14928426,16870817134.78,15.7,65.52,13.46,398000,455000000,394000,394000000
Kyrgyz Republic,1999,4840400,1249061487.01,8.9,68.66,8.4,45000,27000000,48000,18000000
Latvia,1999,2390482,7533187605.09,9.5,69.74,13.79,2256000,321000000,544000,153000000
Lithuania,1999,3524238,10972878636.17,8.8,71.57,13.39,3487000,350000000,1422000,591000000
Mexico,1999,97484832,600232874042.93,12.2,73.99,2.49,10352000,5192000000,19043000,8135000000
Nicaragua,1999,4991040,4855717874.68,11.3,69.1,7.35,452000,114000000,468000,128000000
Panama,1999,2971196,12130252200,9.6,74.88,4.17,221000,259000000,457000,506000000
Papua New Guinea,1999,5716161,3477038204.02,8.3,59.05,3.04,58000,53000000,67000,6000000
Philippines,1999,76325927,82995145792.93,7.5,68.74,3.85,1755000,1737000000,2171000,2652000000
Puerto Rico,1999,3800081,57841000000,15.7,75.38,11.81,1134000,1172000000,3024000,2139000000
Russian Federation,1999,147214392,195907128350.93,26,65.98,13.04,12631000,7097000000,18820000,3723000000
Sri Lanka,1999,18663284,15656327859.57,10.3,70.5,8.88,497000,341000000,436000,414000000
Thailand,1999,62298571,126668932159.51,8.1,70.46,2.97,1655000,2870000000,8651000,9416000000
Ukraine,1999,49673350,31580639045.45,8.6,67.98,11.86,7399000,460000000,4232000,503000000
United States,1999,279040000,9630664202000,5.6,76.58,4.22,57222000,82513000000,48509000,111475000000
Uruguay,1999,3308012,23983945190.62,6.5,74.52,13.15,778000,280000000,2073000,653000000
"Venezuela, RB",1999,23739841,97976886247.32,24.9,71.93,14.53,754000,1483000000,587000,643000000
Australia,1999,18926000,388608221581.65,2,78.93,6.87,3210000,8798000000,4459000,11408000000
China,1999,1252735000,1093997267271.06,2,71.06,3.3,9232000,11621000000,27047000,15006000000
Mauritius,1999,1175267,4343710332.81,2,70.96,9.29,154000,210000000,578000,718000000
Hungary,1999,10237530,49170434390.99,2.5,70.68,6.93,10622000,1590000000,2789000,3622000000
Malta,1999,387578,4127313818.34,2.5,77.5,6.39,179000,231000000,1214000,841000000
Romania,1999,22472040,35952781582.21,2.5,70.51,6.24,6274000,428000000,5224000,306000000
Denmark,1999,5321799,177965188354.69,1,76.34,5.14,4744000,4899000000,2023000,3698000000
"Hong Kong SAR, China",1999,6606500,165768095391.56,1,80.38,6.25,53144000,13134000000,7837000,7343000000
Ireland,1999,3754786,98692079266.99,1,76.08,5.8,3576000,2712000000,6403000,3403000000
Singapore,1999,3958723,86284660766.96,1,77.55,4.85,3971000,4217000000,5604000,5089000000
Japan,1999,126631000,4562078822335.45,0.6,80.57,4.7,16358000,41213000000,4438000,5715000000
Germany,1999,82100243,2199957383336.88,1.2,77.73,8.85,78100000,61218000000,17116000,25327000000
New Zealand,1999,3835100,58762260625.88,1.2,77.89,7.02,1185000,1430000000,1596000,2234000000
Spain,1999,40386875,633194118900.49,1.2,78.72,15.48,3519000,7803000000,45440000,33784000000
Switzerland,1999,7143991,289912492344.56,1.2,79.58,3.14,11815000,7646000000,7154000,9135000000
Israel,1999,6125000,117011468004.93,2.3,78.66,11.18,3203000,3411000000,2312000,4800000000
Finland,1999,5165474,135225868314.51,2.8,77.29,11.69,5314000,2525000000,1831000,2236000000
Iceland,1999,277381,8971609106.48,0.7,79.35,2.18,257000,440000000,263000,380000000
Norway,1999,4461913,162286003692.69,0.7,78.28,3.25,2271000,5185000000,3223000,2750000000
Italy,1999,56916317,1248563179203.07,1.4,79.42,11.69,17361000,19588000000,36516000,29570000000
Luxembourg,1999,430475,22235929043.26,1.4,77.77,2.39,809000,1316000000,863000,1697000000
Morocco,1999,28455509,41632027599.85,1.9,68.25,13.94,1545000,578000000,3817000,2177000000
Poland,1999,38660271,169717677900.73,1.9,73.04,12.29,55097000,3810000000,17950000,6498000000
Nepal,1999,23509964,5033642384.11,2.7,61.6,1.85,125000,116000000,492000,229000000
